#,,,,,,,,,"generated_by='OpenQuake engine 3.10.0-git811058fcf4', start_date='2020-07-22T04:20:22', checksum=2291992654, investigation_time=50.0, ses_per_logic_tree_path=100000"
rup_id,multiplicity,mag,centroid_lon,centroid_lat,centroid_depth,trt,strike,dip,rake
129,5,6.550000E+00,1.329892E+00,-4.289857E-01,1.400000E+01,Active Shallow Crust,3.865880E+01,3.060575E+01,9.000000E+01
130,7,6.550000E+00,1.341128E+00,-4.149407E-01,1.400000E+01,Active Shallow Crust,3.865878E+01,3.060709E+01,9.000000E+01
131,10,6.550000E+00,1.352364E+00,-4.008957E-01,1.400000E+01,Active Shallow Crust,3.865874E+01,3.060885E+01,9.000000E+01
132,9,6.550000E+00,1.363600E+00,-3.868506E-01,1.400000E+01,Active Shallow Crust,3.865873E+01,3.060921E+01,9.000000E+01
133,4,6.550000E+00,1.374836E+00,-3.728056E-01,1.400000E+01,Active Shallow Crust,3.865870E+01,3.060795E+01,9.000000E+01
134,8,6.550000E+00,1.386071E+00,-3.587605E-01,1.400000E+01,Active Shallow Crust,3.865868E+01,3.060728E+01,9.000000E+01
135,11,6.550000E+00,1.397307E+00,-3.447155E-01,1.400000E+01,Active Shallow Crust,3.865866E+01,3.060662E+01,9.000000E+01
136,5,6.550000E+00,1.408543E+00,-3.306704E-01,1.400000E+01,Active Shallow Crust,3.865865E+01,3.060520E+01,9.000000E+01
137,11,6.550000E+00,1.419778E+00,-3.166254E-01,1.400000E+01,Active Shallow Crust,3.865866E+01,3.060397E+01,9.000000E+01
138,6,6.550000E+00,1.431014E+00,-3.025803E-01,1.400000E+01,Active Shallow Crust,3.865866E+01,3.060375E+01,9.000000E+01
139,10,6.550000E+00,1.442250E+00,-2.885352E-01,1.400000E+01,Active Shallow Crust,3.865865E+01,3.060293E+01,9.000000E+01
140,4,6.550000E+00,1.453486E+00,-2.744901E-01,1.400000E+01,Active Shallow Crust,3.865865E+01,3.060206E+01,9.000000E+01
141,16,6.550000E+00,1.464721E+00,-2.604450E-01,1.400000E+01,Active Shallow Crust,3.865865E+01,3.060065E+01,9.000000E+01
142,8,6.550000E+00,1.475957E+00,-2.463998E-01,1.400000E+01,Active Shallow Crust,3.865865E+01,3.059941E+01,9.000000E+01
143,6,6.550000E+00,1.487193E+00,-2.323547E-01,1.400000E+01,Active Shallow Crust,3.865864E+01,3.059878E+01,9.000000E+01
144,9,6.550000E+00,1.498428E+00,-2.183096E-01,1.400000E+01,Active Shallow Crust,3.865865E+01,3.059897E+01,9.000000E+01
145,8,6.550000E+00,1.509664E+00,-2.042645E-01,1.400000E+01,Active Shallow Crust,3.865866E+01,3.060038E+01,9.000000E+01
146,6,6.550000E+00,1.520900E+00,-1.902193E-01,1.400000E+01,Active Shallow Crust,3.865868E+01,3.060100E+01,9.000000E+01
147,7,6.550000E+00,1.532135E+00,-1.761742E-01,1.400000E+01,Active Shallow Crust,3.865871E+01,3.060200E+01,9.000000E+01
148,9,6.550000E+00,1.543371E+00,-1.621291E-01,1.400000E+01,Active Shallow Crust,3.575927E+01,3.079754E+01,9.000000E+01
149,8,6.550000E+00,1.554607E+00,-1.480839E-01,1.400000E+01,Active Shallow Crust,3.273317E+01,3.099563E+01,9.000000E+01
150,10,6.550000E+00,1.565842E+00,-1.340388E-01,1.400000E+01,Active Shallow Crust,2.959050E+01,3.119473E+01,9.000000E+01
151,6,6.550000E+00,1.577078E+00,-1.199936E-01,1.400000E+01,Active Shallow Crust,2.634461E+01,3.139579E+01,9.000000E+01
152,9,6.550000E+00,1.588314E+00,-1.059485E-01,1.400000E+01,Active Shallow Crust,2.301159E+01,3.159990E+01,9.000000E+01
153,6,6.550000E+00,1.599550E+00,-9.190335E-02,1.400000E+01,Active Shallow Crust,1.961127E+01,3.180736E+01,9.000000E+01
154,6,6.550000E+00,1.599275E+00,-7.391912E-02,1.400000E+01,Active Shallow Crust,1.616576E+01,3.201796E+01,9.000000E+01
